borough,zip_code,week_of_year,week_sin,week_cos,latitude,longitude,temp_mean,temp_max,temp_min,humidity_mean,precip_sum,temp_mean_lag7,temp_mean_lag14,humidity_mean_lag7,precip_7d,precip_14d,degree_days_14d,positives_last_1w,positives_last_2_4w,zipcode
Brooklyn,11228,33,-0.7485,-0.6631,40.61673,-74.01343,23.68,27.08,20.66,80.6,63.7,25.157,25.843,66.714,20.1,83.8,180.8,1,3,11228
Brooklyn,11229,33,-0.7485,-0.6631,40.60129,-73.94449,23.68,27.08,20.66,80.6,63.7,25.157,25.843,66.714,20.1,83.8,180.8,1,5,11229
Brooklyn,11230,33,-0.7485,-0.6631,40.62209,-73.96519,23.68,27.08,20.66,80.6,63.7,25.157,25.843,66.714,20.1,83.8,180.8,0,0,11230
Brooklyn,11231,33,-0.7485,-0.6631,40.67792,-74.00515,23.86,28.44,19.98,78.2,43.3,25.286,26.229,66.857,31.5,74.8,185.0,0,0,11231
Brooklyn,11232,33,-0.7485,-0.6631,40.65654,-74.00518,23.74,28.08,20.22,79.6,67.5,25.4,26.357,65.0,26.1,93.6,186.2,1,3,11232
Brooklyn,11233,33,-0.7485,-0.6631,40.6783,-73.91993,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,0,0,11233
Brooklyn,11234,33,-0.7485,-0.6631,40.60772,-73.91065,23.68,27.08,20.66,80.6,63.7,25.157,25.843,66.714,20.1,83.8,180.8,2,6,11234
Brooklyn,11235,33,-0.7485,-0.6631,40.58422,-73.94317,23.68,27.08,20.66,80.6,63.7,25.157,25.843,66.714,20.1,83.8,180.8,0,3,11235
Brooklyn,11236,33,-0.7485,-0.6631,40.63941,-73.90066,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,1,3,11236
Brooklyn,11237,33,-0.7485,-0.6631,40.70416,-73.92114,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,1,1,11237
Brooklyn,11238,33,-0.7485,-0.6631,40.67133,-73.96594,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,1,3,11238
Brooklyn,11239,33,-0.7485,-0.6631,40.64689,-73.86401,23.54,27.18,20.3,81.0,74.3,25.171,26.071,66.286,22.4,96.7,181.9,0,0,11239
Brooklyn,11249,33,-0.7485,-0.6631,40.7045,-73.966,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,0,0,11249
Brooklyn,11251,33,-0.7485,-0.6631,40.6782,-73.9442,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,0,0,11251
Queens,11354,33,-0.7485,-0.6631,40.76821,-73.82739,23.46,27.92,19.94,80.0,69.1,25.486,26.414,63.429,23.6,92.7,186.0,0,1,11354
Queens,11355,33,-0.7485,-0.6631,40.75144,-73.82123,23.46,27.92,19.94,80.0,69.1,25.486,26.414,63.429,23.6,92.7,186.0,0,3,11355
Queens,11356,33,-0.7485,-0.6631,40.78487,-73.84153,23.56,28.0,19.9,78.8,43.8,25.4,26.3,64.0,20.3,64.1,185.0,1,6,11356
Queens,11357,33,-0.7485,-0.6631,40.78513,-73.81004,23.34,27.76,19.8,79.8,52.7,25.286,26.229,64.571,24.0,76.7,182.8,0,3,11357
Queens,11358,33,-0.7485,-0.6631,40.76036,-73.79653,23.46,27.92,19.94,80.0,69.1,25.486,26.414,63.429,23.6,92.7,186.0,0,1,11358
