Feature,Coefficient,Absolute_Impact
borough_Bronx,0.15870417408752452,0.15870417408752452
zipcode_10115,-0.1572083080715817,0.1572083080715817
zipcode_10305,-0.15575498076204222,0.15575498076204222
zipcode_10040,-0.15558966012172476,0.15558966012172476
zipcode_10018,-0.15458581844728178,0.15458581844728178
zipcode_11432,0.15174648112341818,0.15174648112341818
zipcode_10035,-0.1513277200010718,0.1513277200010718
zipcode_10301,0.1504759095864683,0.1504759095864683
zipcode_10001,-0.1457197192582688,0.1457197192582688
zipcode_10037,-0.1451681086403978,0.1451681086403978
zipcode_10044,-0.14433571546376128,0.14433571546376128
latitude,-0.14089192998296948,0.14089192998296948
zipcode_10069,-0.13936645624829103,0.13936645624829103
precip_7d,0.13879915951900304,0.13879915951900304
zipcode_10014,-0.1387693463669182,0.1387693463669182
zipcode_10036,-0.13822596539773307,0.13822596539773307
zipcode_10026,-0.13706525132296396,0.13706525132296396
humidity_mean_lag7,0.13599212650568698,0.13599212650568698
zipcode_10475,0.13093196887809458,0.13093196887809458
zipcode_10281,-0.1269693116194071,0.1269693116194071
precip_sum,-0.12506048350729604,0.12506048350729604
zipcode_11208,-0.11429360860470159,0.11429360860470159
zipcode_11375,-0.11242339202704248,0.11242339202704248
zipcode_11367,0.10978507248161301,0.10978507248161301
zipcode_10308,-0.10940582780754456,0.10940582780754456
zipcode_11417,0.10711774905802328,0.10711774905802328
zipcode_10019,-0.10634239748636484,0.10634239748636484
zipcode_11356,0.09567339840501603,0.09567339840501603
zipcode_10306,0.09299754427586243,0.09299754427586243
zipcode_11414,-0.09142956890366713,0.09142956890366713
zipcode_10462,-0.09045474319168416,0.09045474319168416
zipcode_11355,0.08771831654261729,0.08771831654261729
longitude,0.08459349102832318,0.08459349102832318
zipcode_10454,0.08379393769964873,0.08379393769964873
zipcode_11370,0.08258216517660574,0.08258216517660574
borough_Queens,0.07325002832888686,0.07325002832888686
zipcode_11427,-0.06947428148032053,0.06947428148032053
zipcode_11005,-0.06795741275992724,0.06795741275992724
zipcode_10460,-0.0631536286416854,0.0631536286416854
positives_last_2_4w,-0.05310660439271066,0.05310660439271066
zipcode_11354,0.037437407167860225,0.037437407167860225
zipcode_11219,-0.03711273267984628,0.03711273267984628
zipcode_11692,-0.035255428751604125,0.035255428751604125
zipcode_11420,-0.03292050562476176,0.03292050562476176
zipcode_11234,-0.018881321354407038,0.018881321354407038
humidity_mean,-0.013514224722480156,0.013514224722480156
precip_14d,0.0121817863583828,0.0121817863583828
zipcode_11363,0.005216336805273462,0.005216336805273462
